Chr	gene	all	syn	lof	lof_SNV	mis	Mis_MetaSVM	Mis_CADD15	Mis_CADD20	Mis_MetaSVM_or_CADD15	Mis_MetaSVM_or_CADD20	SpliceSite	StopGain	StopLoss	Mis_mpc2	Mis_mpc2_and_MetaSVM	Mis_mpc2_or_MetaSVM
10	A1CF	2.78888E-05	7.03111E-06	3.89955E-06	2.03097E-06	1.69581E-05	1.09982E-06	1.40721E-05	1.19999E-05	1.40721E-05	1.19999E-05	5.17792E-07	1.49486E-06	1.832E-08	0	0	1.09982E-06
10	ABCC2	6.54897E-05	1.72515E-05	6.98155E-06	3.96561E-06	4.12566E-05	2.10324E-05	2.95878E-05	2.63314E-05	3.00868E-05	2.76169E-05	1.53311E-06	2.41275E-06	1.9746E-08	0	0	2.10324E-05
10	ABI1	2.22079E-05	5.48011E-06	2.69662E-06	1.51023E-06	1.40311E-05	6.71204E-06	1.26827E-05	1.13334E-05	1.28021E-05	1.17342E-05	5.47822E-07	9.49115E-07	1.329E-08	0	0	6.71204E-06
10	ABLIM1	4.70655E-05	1.20476E-05	4.78773E-06	2.76837E-06	3.02302E-05	6.32181E-06	2.52407E-05	2.25919E-05	2.52481E-05	2.26084E-05	1.13938E-06	1.61548E-06	1.351E-08	0	0	6.32181E-06
10	ABRAXAS2	2.01239E-05	5.82858E-06	2.06911E-06	1.19818E-06	1.22262E-05	0	1.01751E-05	9.25306E-06	1.01751E-05	9.25306E-06	4.8748E-07	6.96742E-07	1.396E-08	0	0	0
10	ACADSB	1.76961E-05	4.83441E-06	1.81532E-06	1.07081E-06	1.10464E-05	8.74448E-06	8.65151E-06	7.93678E-06	9.61031E-06	9.31584E-06	0.000000454	5.95607E-07	2.12E-08	0	0	8.74448E-06
10	ACBD5	2.41761E-05	6.55657E-06	2.58117E-06	1.46226E-06	1.50383E-05	3.50218E-06	1.1887E-05	1.03009E-05	1.19017E-05	1.03844E-05	5.4871E-07	8.95135E-07	1.841E-08	1.43617E-06	3.2597E-08	4.90576E-06
10	ACBD7	4.11065E-06	1.29262E-06	4.27376E-07	2.77055E-07	2.39066E-06	0	1.91508E-06	1.60779E-06	1.91508E-06	1.60779E-06	1.36072E-07	1.20257E-07	2.0726E-08	0	0	0
10	ACSL5	3.26536E-05	9.25633E-06	3.18492E-06	1.93133E-06	2.02124E-05	2.40079E-06	1.52359E-05	1.36983E-05	1.52359E-05	1.36983E-05	9.0937E-07	1.00287E-06	1.909E-08	0	0	2.40079E-06
10	ACSM6	1.95344E-05	4.87791E-06	1.96553E-06	1.11934E-06	1.26909E-05	3.1165E-08	7.54509E-06	5.75329E-06	7.54509E-06	5.75329E-06	4.2321E-07	6.76954E-07	1.9175E-08	0	0	3.1165E-08
10	ACTA2	1.97659E-05	5.20679E-06	1.62087E-06	9.43174E-07	1.29382E-05	1.2815E-05	1.28078E-05	1.22585E-05	1.28881E-05	1.28373E-05	3.87188E-07	5.42156E-07	1.383E-08	7.338E-06	7.338E-06	1.2815E-05
10	ACTR1A	2.17515E-05	5.82054E-06	2.74713E-06	1.54852E-06	1.31839E-05	1.00129E-05	1.29019E-05	1.23305E-05	1.30405E-05	1.28125E-05	5.75766E-07	9.58889E-07	1.386E-08	6.8744E-06	5.31379E-06	1.15735E-05
10	ADAM12	4.99872E-05	1.42773E-05	4.49563E-06	2.58265E-06	3.12143E-05	5.82151E-06	2.20247E-05	1.97416E-05	2.20258E-05	1.97664E-05	1.01461E-06	1.53038E-06	3.766E-08	0	0	5.82151E-06
10	ADAM8	5.76392E-05	1.39789E-05	4.47564E-06	2.64452E-06	3.91846E-05	0	2.02984E-05	1.75218E-05	2.02984E-05	1.75218E-05	1.1433E-06	1.4649E-06	3.6326E-08	0	0	0
10	ADAMTS14	7.30792E-05	2.03252E-05	6.28789E-06	3.55196E-06	4.64661E-05	1.01799E-05	3.64845E-05	3.3588E-05	3.64863E-05	3.36122E-05	1.33768E-06	2.18874E-06	2.554E-08	0	0	1.01799E-05
10	ADARB2	6.47469E-05	2.22274E-05	2.6204E-06	1.47144E-06	3.98991E-05	1.6856E-05	2.91771E-05	2.63976E-05	2.99595E-05	2.79006E-05	5.32582E-07	9.19169E-07	1.9686E-08	4.05359E-06	1.60194E-06	1.93077E-05
10	ADD3	2.89276E-05	7.00283E-06	3.57416E-06	1.92866E-06	1.83506E-05	3.8479E-07	1.58436E-05	1.41768E-05	1.58436E-05	1.41804E-05	5.9839E-07	1.3164E-06	1.3876E-08	0	0	3.8479E-07
10	ADGRA1	4.46464E-05	1.58491E-05	1.95052E-06	1.03252E-06	2.68468E-05	5.94886E-07	1.67157E-05	1.48034E-05	1.67157E-05	1.48034E-05	2.7573E-07	7.34398E-07	2.239E-08	0	0	5.94886E-07
10	ADIRF	4.04326E-06	1.36684E-06	3.42094E-07	2.20186E-07	2.33432E-06	0	1.75673E-06	1.27835E-06	1.75673E-06	1.27835E-06	9.427E-08	9.7526E-08	2.839E-08	0	0	0
10	ADK	1.42329E-05	3.75778E-06	1.44853E-06	9.17443E-07	9.02661E-06	5.0753E-06	8.09217E-06	7.03782E-06	8.12674E-06	7.24228E-06	4.7074E-07	4.24873E-07	2.183E-08	0	0	5.0753E-06
10	ADO	2.48989E-05	8.5842E-06	1.19405E-06	5.40059E-07	1.51207E-05	8.13822E-07	1.1963E-05	1.01423E-05	1.1963E-05	1.01423E-05	0	5.23189E-07	1.687E-08	2.82344E-07	6.4892E-08	1.03127E-06
10	ADRA2A	4.84856E-05	1.73739E-05	1.33105E-06	6.02313E-07	2.97806E-05	3.40049E-06	2.06003E-05	1.91341E-05	2.06003E-05	1.91341E-05	0	5.82993E-07	1.932E-08	0	0	3.40049E-06
10	ADRB1	5.09319E-05	1.87342E-05	1.20209E-06	5.45785E-07	3.09957E-05	3.59319E-06	2.22159E-05	1.92512E-05	2.22159E-05	1.92512E-05	0	5.25045E-07	2.074E-08	0	0	3.59319E-06
10	AFAP1L2	4.83667E-05	1.46618E-05	3.97894E-06	2.5158E-06	2.9726E-05	8.52325E-07	2.08689E-05	1.82522E-05	2.08689E-05	1.82522E-05	1.32456E-06	1.17051E-06	2.0726E-08	0	0	8.52325E-07
10	AGAP11	2.94099E-05	8.51764E-06	2.37478E-06	1.27885E-06	1.85175E-05	0	0	0	0	0	3.8037E-07	8.76746E-07	2.173E-08	0	0	0
10	AGAP4	3.51566E-05	9.61266E-06	2.94289E-06	1.60647E-06	2.2601E-05	9.5556E-07	1.36135E-05	1.03108E-05	1.36373E-05	1.03698E-05	5.1548E-07	1.06913E-06	2.1856E-08	0	0	9.5556E-07
10	AGAP5	3.5378E-05	1.00521E-05	2.78427E-06	1.49584E-06	2.25416E-05	5.8495E-07	1.20767E-05	9.73229E-06	1.20887E-05	9.77466E-06	4.43244E-07	1.03074E-06	2.1856E-08	0	0	5.8495E-07
10	AGAP6	3.49988E-05	9.929E-06	2.77652E-06	1.49352E-06	2.22932E-05	1.6733E-07	1.33068E-05	1.01715E-05	1.33068E-05	1.01715E-05	4.4538E-07	1.02641E-06	2.173E-08	0	0	1.6733E-07
10	AGAP9	6.40478E-05	1.72481E-05	4.95716E-06	2.72002E-06	4.18426E-05	0	2.1632E-05	1.36461E-05	2.1632E-05	1.36461E-05	8.87924E-07	1.78971E-06	4.239E-08	0	0	0
10	AIFM2	2.2483E-05	7.01082E-06	1.44711E-06	8.55858E-07	1.40251E-05	1.15427E-06	1.12813E-05	1.02312E-05	1.12813E-05	1.02312E-05	3.62106E-07	4.73005E-07	2.0747E-08	0	0	1.15427E-06
10	AKR1C1	1.4611E-05	3.49774E-06	2.29236E-06	1.23186E-06	8.8209E-06	4.02485E-07	5.34459E-06	4.64379E-06	5.34459E-06	4.64845E-06	3.695E-07	8.48398E-07	1.396E-08	2.35917E-06	3.156E-08	2.73009E-06
10	AKR1C2	1.49916E-05	3.72341E-06	2.31369E-06	1.25947E-06	8.95447E-06	4.91495E-07	5.62888E-06	4.86975E-06	5.62888E-06	4.86975E-06	3.88312E-07	8.43378E-07	2.778E-08	2.94207E-06	8.42E-09	3.42514E-06
10	AKR1C3	1.63583E-05	3.86923E-06	2.53385E-06	1.35142E-06	9.95521E-06	2.7375E-07	5.97502E-06	5.16052E-06	5.97502E-06	5.16052E-06	3.7132E-07	9.45945E-07	3.415E-08	0	0	2.7375E-07
10	AKR1C4	1.35157E-05	3.16343E-06	1.83185E-06	1.02898E-06	8.52046E-06	5.19942E-07	5.61147E-06	5.02269E-06	5.61147E-06	5.02387E-06	3.6751E-07	6.42294E-07	1.918E-08	0	0	5.19942E-07
10	AKR1E2	1.53164E-05	4.18176E-06	1.72541E-06	1.00477E-06	9.40923E-06	8.13433E-07	6.29212E-06	5.61421E-06	6.29212E-06	5.61421E-06	4.099E-07	5.76516E-07	1.835E-08	0	0	8.13433E-07
10	ALDH18A1	3.9592E-05	9.99315E-06	4.13081E-06	2.3296E-06	2.54681E-05	1.19057E-05	2.36657E-05	2.23499E-05	2.36698E-05	2.23551E-05	8.7032E-07	1.44096E-06	1.832E-08	2.74936E-06	1.70744E-06	1.29476E-05
